"Lokasyon","Havaalaný","Koord1","Koord2","Tip"
"Adana","Adana Airport",36.98194,35.2802,"Uluslar arasý"
"Ankara","Ankara Esenboða Airport",40.12806,32.995,"Uluslar arasý"
"Alanya","Gazipaþa Airport",36.2993,32.3014,"Uluslar arasý"
"Antalya","Antalya Airport",36.90028,30.7927,"Uluslar arasý"
"Balýkesir","Balýkesir Koca Seyit Airport",39.55444,27.0136,"Uluslar arasý"
"Bursa","Bursa Yeniþehir Airport",40.255,29.5625,"Uluslar arasý"
"Denizli","Denizli Çardak Airport",37.78556,29.7011,"Uluslar arasý"
"Diyarbakýr","Diyarbakýr Airport",37.89389,40.2008,"Uluslar arasý"
"Elazýð","Elazýð Airport",38.60667,39.2913,"Uluslar arasý"
"Erzurum","Erzurum Airport",39.95528,41.1691,"Uluslar arasý"
"Eskiþehir","Eskiþehir Hasan Polatkan Airport",39.81,30.5194,"Uluslar arasý"
"Gaziantep","Gaziantep Airport",36.94778,37.4788,"Uluslar arasý"
"Hatay","Hatay Airport",36.36278,36.2822,"Uluslar arasý"
"Isparta","Isparta Süleyman Demirel Airport",37.865,30.3819,"Uluslar arasý"
"Istanbul","Istanbul Atatürk Airport",40.97611,28.8141,"Uluslar arasý"
"Istanbul","Istanbul New Airport",41.26278,28.7411,"Uluslar arasý"
"Istanbul","Istanbul Sabiha Gökçen Airport",40.89833,29.3091,"Uluslar arasý"
"Ýzmir","Ýzmir Adnan Menderes Airport",38.28917,27.155,"Uluslar arasý"
"Kars","Kars Harakani Airport",40.56222,43.115,"Uluslar arasý"
"Kayseri","Kayseri Airport",38.77028,35.4952,"Uluslar arasý"
"Kocaeli","Kocaeli Cengiz Topel Airport",40.735,30.0833,"Uluslar arasý"
"Konya","Konya Airport",37.97889,32.5616,"Uluslar arasý"
"Kütahya","Zafer Airport",39.11139,30.1297,"Uluslar arasý"
"Malatya","Malatya Airport",38.43528,38.0908,"Uluslar arasý"
"Muðla","Dalaman Airport",36.71472,28.7927,"Uluslar arasý"
"Muðla","Milas–Bodrum Airport",37.25056,27.6641,"Uluslar arasý"
"Nevþehir","Nevþehir Kapadokya Airport",38.76889,34.5263,"Uluslar arasý"
"Ordu","Ordu Giresun Airport",40.96806,38.0763,"Uluslar arasý"
"Samsun","Samsun-Çarþamba Airport",41.26556,36.5486,"Uluslar arasý"
"Sinop","Sinop Airport",42.01583,35.0663,"Uluslar arasý"
"Sivas","Sivas Nuri Demirað Airport",39.76667,37.0166,"Uluslar arasý"
"Þanlýurfa","Þanlýurfa GAP Airport",37.45,38.9,"Uluslar arasý"
"Tekirdað","Tekirdað Çorlu Airport",41.13833,27.9191,"Uluslar arasý"
"Trabzon","Trabzon Airport",40.9951,39.7897,"Uluslar arasý"
"Van","Van Ferit Melen Airport",38.46833,43.3322,"Uluslar arasý"
"Zonguldak","Zonguldak Çaycuma Airport",41.5064,32.0886,"Uluslar arasý"
"Adýyaman","Adýyaman Airport",37.73167,38.4688,"Yerel"
"Aðrý","Aðrý Ahmed-i Hani Airport",39.65444,43.0272,"Yerel"
"Amasya","Amasya Merzifon Airport",40.82917,35.5219,"Yerel"
"Aydýn","Aydýn Çýldýr Airport",37.815,27.8891,"Yerel"
"Balýkesir","Balýkesir Merkez Airport",39.61917,27.9258,"Yerel"
"Batman","Batman Airport",37.93222,41.1163,"Yerel"
"Bingöl","Bingöl Airport",38.86,40.5938,"Yerel"
"Çanakkale","Çanakkale Airport",40.1375,26.4266,"Yerel"
"Çanakkale","Gökçeada Airport",40.20111,25.8822,"Yerel"
"Erzincan","Erzincan Airport",39.71,39.5269,"Yerel"
"Hakkari","Hakkari–Yüksekova Selahaddin Eyyubi Airport",37.55167,44.2336,"Yerel"
"Iðdýr","Iðdýr Airport",39.98306,43.8663,"Yerel"
"Istanbul","Istanbul Hezarfen Airfield",41.10444,28.55,"Yerel"
"Ýzmir","Selçuk–Efes Airport",37.95056,27.3291,"Yerel"
"Kahramanmaraþ","Kahramanmaraþ Airport",37.53889,36.9533,"Yerel"
"Kastamonu","Kastamonu Airport",41.3138,33.7949,"Yerel"
"Mardin","Mardin Airport",37.23278,40.6405,"Yerel"
"Muþ","Muþ Airport",38.74472,41.6538,"Yerel"
"Siirt","Siirt Airport",37.96667,41.8333,"Yerel"
"Þýrnak","Þýrnak Þerafettin Elçi Airport",37.36333,42.0597,"Yerel"
"Tokat","Tokat Airport",40.31167,36.3736,"Yerel"
"Uþak","Uþak Airport",38.6796,29.4816,"Yerel"
"Adana","Ýncirlik Air Base",37.00194,35.4258,"Askeri"
"Afyon","Afyon Airport",38.72639,30.6011,"Askeri"
"Amasya","Merzifon Air Base",40.82917,35.5219,"Askeri"
"Ankara","Etimesgut Air Base",39.94972,32.6886,"Askeri"
"Ankara","Güvercinlik Army Air Base",39.93472,32.7405,"Askeri"
"Ankara","Mürted Air Base",40.07889,32.5655,"Askeri"
"Balýkesir","Balýkesir Air Base",39.61917,27.9258,"Askeri"
"Balýkesir","Bandýrma Air Base",40.31778,27.9775,"Askeri"
"Bursa","Bursa Yunuseli Airport",40.23056,29.0111,"Askeri"
"Diyarbakýr","Diyarbakýr Air Base",37.89389,40.2008,"Askeri"
"Edirne","Keþan Army Air Base",40.78722,26.6066,"Askeri"
"Eskiþehir","Eskiþehir Air Base",39.78389,30.5819,"Askeri"
"Eskiþehir","Sivrihisar Air Base",39.45139,31.3652,"Askeri"
"Istanbul","Istanbul Samandýra Army Air Base",40.99278,29.2155,"Askeri"
"Ýzmir","Çiðli Air Base",38.51278,27.01,"Askeri"
"Ýzmir","Gaziemir Army Air Base",38.31889,27.1591,"Askeri"
"Ýzmir","Kaklýç Air Base",38.52389,26.9744,"Askeri"
"Kayseri","Erkilet Air Base",38.77028,35.4952,"Askeri"
"Kocaeli","Cengiz Topel Naval Air Station",40.735,30.0833,"Askeri"
"Konya","Konya Air Base",37.97889,32.5616,"Askeri"
"Kütahya","Kütahya Air Base",39.42667,30.0166,"Askeri"
"Malatya","Erhaç Air Base",38.43528,38.0908,"Askeri"
"Malatya","Malatya Tulga Army Air Base",38.35389,38.2538,"Askeri"
"Manisa","Akhisar Air Base",38.80944,27.835,"Askeri"
"Muðla","Bodrum-Imsik Airport",37.14028,27.6697,"Askeri"
"Yalova","Yalova Air Base",40.68389,29.3761,"Askeri"
"Antalya","Kaþ-Demre Batý Antalya Airport",36.22972,29.6866,"Planlanan"
"Edirne","Edirne-Kýrklareli Airport",41.62861,26.8883,"Planlanan"
"Ýzmir","Çeþme-Alaçatý Airport",38.23861,26.4227,"Planlanan"
"Mersin","Çukurova Regional Airport",36.90111,35.0688,"Planlanan"
"Gümüþhane","Bayburt-Gümüþhane Airport",40.22306,39.7927,"Planlanan"
"Karaman","Karaman Airport",37.28,33.438,"Planlanan"
"Niðde","Hasandaðý (Niðde Aksaray) Airport",37.84583,34.473,"Planlanan"
"Rize","Rize-Artvin Airport",41.16917,40.8288,"Planlanan"
"Yozgat","Yozgat Airport",39.88917,34.99,"Planlanan"
