"Tarih","ToplamÝþlemHacmi"
"07-05-2010",3454028.15
"10-05-2010",3221674.67
"11-05-2010",2708472.36
"12-05-2010",3248819.21
"13-05-2010",3001316.35
"14-05-2010",2702608.66
"17-05-2010",2242047.73
"18-05-2010",2263218.08
"20-05-2010",2735390.2
"21-05-2010",3132812.23
"24-05-2010",2198989.05
"25-05-2010",2537470.31
"26-05-2010",2685295.51
"27-05-2010",2498650.69
"28-05-2010",2465362.33
"31-05-2010",1605968.87
"01-06-2010",2049452.91
"02-06-2010",2575492.52
"03-06-2010",2490242.46
"04-06-2010",2164001.34
"07-06-2010",1757707.96
"08-06-2010",2132462.667
"09-06-2010",1860527.73
"10-06-2010",1889342.731
"11-06-2010",1679712.35
"14-06-2010",1592266.96
"15-06-2010",1962816.31
"16-06-2010",1965436.74
"17-06-2010",2271887.74
"18-06-2010",1711812.69
"21-06-2010",1720284.54
"22-06-2010",1892112.81
"23-06-2010",1695924.58
"24-06-2010",1514007.01
"25-06-2010",1371686.51
"28-06-2010",1389607.5
"29-06-2010",1671999.13
"30-06-2010",1782068.72
"01-07-2010",1708978.16
"02-07-2010",1600134.11
"05-07-2010",1316461.76
"06-07-2010",2130199.02
"07-07-2010",1825260.71
"08-07-2010",2030062.58
"09-07-2010",1797570.42
"12-07-2010",1630110.54
"13-07-2010",2166621.05
"14-07-2010",1835584.46
"15-07-2010",2294643.29
"16-07-2010",1817386.69
"19-07-2010",1505600.28
"20-07-2010",1695232.21
"21-07-2010",2134011.24
"22-07-2010",2200282.76
"23-07-2010",1699302.21
"26-07-2010",1460057.8
"27-07-2010",2117576.67
"28-07-2010",2022898.36
"29-07-2010",1832228.68
"30-07-2010",1962481.58
"02-08-2010",1591411.78
"03-08-2010",1654676.79
"04-08-2010",2017816.42
"05-08-2010",1833917.06
"06-08-2010",1546448.87
"09-08-2010",1490429.47
"10-08-2010",1508275.54
"11-08-2010",1601294.23
"12-08-2010",1700462.03
"13-08-2010",1451757.21
"16-08-2010",1413158.83
"17-08-2010",1855876.42
"18-08-2010",1887610.28
"19-08-2010",1966723.51
"20-08-2010",1718851.18
"23-08-2010",1488402.26
"24-08-2010",1573730.84
"25-08-2010",1730641.04
"26-08-2010",1572676.05
"27-08-2010",1810018
"31-08-2010",1922432.84
"01-09-2010",2158738.956
"02-09-2010",2007690.685
"03-09-2010",2168519.6
"06-09-2010",1421477.366
"07-09-2010",1549537.695
"08-09-2010",665038.099
"13-09-2010",2390142.146
"14-09-2010",2165624.336
"15-09-2010",2992765.565
"16-09-2010",2637579.581
"17-09-2010",3185186.86
"20-09-2010",1982120.259
"21-09-2010",2396329.47
"22-09-2010",2787745.99
"23-09-2010",3186470.18
"24-09-2010",2253048.61
"27-09-2010",2785448.22
"28-09-2010",3107409.06
"29-09-2010",3216248.75
"30-09-2010",3231623.83
"01-10-2010",2164299.68
"04-10-2010",1935664.7
"05-10-2010",2914949.8
"06-10-2010",2781064.36
"07-10-2010",2541865.77
"08-10-2010",2368985.62
"11-10-2010",3219251.3
"12-10-2010",3517941.81
"13-10-2010",4267582.42
"14-10-2010",3743482.29
"15-10-2010",3454455.66
"18-10-2010",3301283.6
"19-10-2010",3175361.75
"20-10-2010",3078574.26
"21-10-2010",3033632.41
"22-10-2010",3031431.25
"25-10-2010",2996003.86
"26-10-2010",2520941.12
"27-10-2010",2947354.61
"28-10-2010",1365820.98
"01-11-2010",2545860.74
"02-11-2010",3593556.9
"03-11-2010",2774843.8
"04-11-2010",3706375.23
"05-11-2010",2808371.38
"08-11-2010",2372635.18
"09-11-2010",3221630.87
"10-11-2010",3341400.55
"11-11-2010",3076511.95
"12-11-2010",2544275.77
"15-11-2010",731345.95
"22-11-2010",3034216.08
"23-11-2010",2878763.04
"24-11-2010",3743860.7
"25-11-2010",2313426.52
"26-11-2010",2438410.93
"29-11-2010",3158934.53
"30-11-2010",3140669.83
"01-12-2010",3206773.56
"02-12-2010",4281624.44
"03-12-2010",3890732.1
"06-12-2010",2980719.55
"07-12-2010",3232817.43
"08-12-2010",3232671.48
"09-12-2010",3749085.46
"10-12-2010",3184794.67
"13-12-2010",3595284.15
"14-12-2010",3260918.66
"15-12-2010",2982972.14
"16-12-2010",3373082.41
"17-12-2010",4570928.55
"20-12-2010",2874129.1
"21-12-2010",2640413.08
"22-12-2010",2694961.12
"23-12-2010",2964164.1
"24-12-2010",2025165.5
"27-12-2010",2609627.48
"28-12-2010",3189363.75
"29-12-2010",3418732.87
"30-12-2010",2870172.28
"31-12-2010",2261763.56
"03-01-2011",3296550.35
"04-01-2011",4276057.4
"05-01-2011",4402240.49
"06-01-2011",4264637.21
"07-01-2011",3459466.3
"10-01-2011",3493480
"11-01-2011",4111822.39
"12-01-2011",3910152.19
"13-01-2011",3869486.9
"14-01-2011",3442387.88
"17-01-2011",3150789.95
"18-01-2011",3344811.36
"19-01-2011",3735004.59
"20-01-2011",3755039.55
"21-01-2011",3591476.08
"24-01-2011",3283566.67
"25-01-2011",3458344.6
"26-01-2011",3405505.67
"27-01-2011",3797796.18
"28-01-2011",3462332.34
"31-01-2011",3422380.22
"01-02-2011",3392467.88
"02-02-2011",3669929.53
"03-02-2011",3440540.57
"04-02-2011",3507224.53
"07-02-2011",3401017.16
"08-02-2011",2949919.21
"09-02-2011",3487718.05
"10-02-2011",3162033.55
"11-02-2011",2929433.49
"14-02-2011",3066464.07
"15-02-2011",3558283.53
"16-02-2011",3374424.69
"17-02-2011",3640141.29
"18-02-2011",3429310.7
"21-02-2011",3295614.91
"22-02-2011",3283331.92
"23-02-2011",3655033.84
"24-02-2011",4933900.47
"25-02-2011",3502085.74
"28-02-2011",3465858.2
"01-03-2011",4486727.78
"02-03-2011",3885273.12
"03-03-2011",3739481.69
"04-03-2011",3522963.75
"07-03-2011",3420043.55
"08-03-2011",3787947.78
"09-03-2011",4104914.19
"10-03-2011",4671176.72
"11-03-2011",3757177.27
"14-03-2011",3799126.03
"15-03-2011",4227541.7
"16-03-2011",4039941.72
"17-03-2011",3383216.17
"18-03-2011",4010910.78
"21-03-2011",2814646.53
"22-03-2011",2962594.5
"23-03-2011",3790820.24
"24-03-2011",3582424.48
"25-03-2011",3498330.38
"28-03-2011",2507697.19
"29-03-2011",3067750.53
"30-03-2011",2994392.92
"31-03-2011",3276998.71
"01-04-2011",3319050.96
"04-04-2011",4190498.54
"05-04-2011",4544083.41
"06-04-2011",4337890.44
"07-04-2011",4226162.37
"08-04-2011",4204621.93
"11-04-2011",3124090.59
"12-04-2011",3332922.84
"13-04-2011",3336063.57
"14-04-2011",2586508.97
"15-04-2011",2893642.59
"18-04-2011",4048071.5
"19-04-2011",3134815.99
"20-04-2011",3925059.73
"21-04-2011",3183708.77
"22-04-2011",2471773.93
"25-04-2011",2736499.68
"26-04-2011",2994992.87
"27-04-2011",3094040.24
"28-04-2011",3135189.21
"29-04-2011",3355729.64
"02-05-2011",3242985.54
"03-05-2011",3512452.36
"04-05-2011",4023530.25
"05-05-2011",3173980.48
"06-05-2011",3305431.75
"09-05-2011",2966449.37
"10-05-2011",3267125.82
"11-05-2011",3775881.19
"12-05-2011",3205656.11
"13-05-2011",3693211.28
"16-05-2011",3225948.7
"17-05-2011",3096314.1
"18-05-2011",2849184.68
"20-05-2011",2528313.05
"23-05-2011",2933366.1
"24-05-2011",2804963.54
"25-05-2011",3460807.09
"26-05-2011",2402585.99
"27-05-2011",2475818.85
"30-05-2011",1889637.24
"31-05-2011",3036198.04
"01-06-2011",2595395.67
"02-06-2011",2623855.91
"03-06-2011",2745282.23
"06-06-2011",2154516.87
"07-06-2011",2302610.43
"08-06-2011",2936279.3
"09-06-2011",2226152.53
"10-06-2011",1988391.8
"13-06-2011",2345823.23
"14-06-2011",3207980.5
"15-06-2011",2730776.38
"16-06-2011",2610753.65
"17-06-2011",2243172.28
"20-06-2011",1831098.73
"21-06-2011",1912629.47
"22-06-2011",1776856.36
"23-06-2011",2176597.84
"24-06-2011",2204661.84
"27-06-2011",1625934.14
"28-06-2011",2169259.22
"29-06-2011",2009620.6
"30-06-2011",2096042.33
"01-07-2011",1556494.63
"04-07-2011",1686965.9
"05-07-2011",2344250.05
"06-07-2011",1916887.88
"07-07-2011",2090964.55
"08-07-2011",2097199.26
"11-07-2011",1518851.32
"12-07-2011",2748606.89
"13-07-2011",2269919.41
"14-07-2011",2094304.62
"15-07-2011",1670140.96
"18-07-2011",1562840.07
"19-07-2011",1544895.92
"20-07-2011",1620603.87
"21-07-2011",2815353.63
"22-07-2011",1935026.91
"25-07-2011",2213707.55
"26-07-2011",1916561.63
"27-07-2011",2136791.46
"28-07-2011",2156752.3
"29-07-2011",2010550.15
"01-08-2011",1831063.72
"02-08-2011",1981920.98
"03-08-2011",2522804.32
"04-08-2011",3217962.76
"05-08-2011",3388280.87
"08-08-2011",3413499.18
"09-08-2011",3733704.05
"10-08-2011",3497624.86
"11-08-2011",3188692.63
"12-08-2011",3266058.1
"15-08-2011",2058208.3
"16-08-2011",2243221.68
"17-08-2011",2663897.27
"18-08-2011",2664590.75
"19-08-2011",2657076.66
"22-08-2011",2623476.21
"23-08-2011",2206263.34
"24-08-2011",1969081.36
"25-08-2011",2106574.65
"26-08-2011",1841179.12
"29-08-2011",542555.73
"02-09-2011",1984991.05
"05-09-2011",1827966.08
"06-09-2011",2356080.78
"07-09-2011",2450077.65
"08-09-2011",2771383.88
"09-09-2011",2573028.67
"12-09-2011",2185852.02
"13-09-2011",2551770.14
"14-09-2011",2509767.48
"15-09-2011",2474183.84
"16-09-2011",2272228.05
"19-09-2011",2369938.41
"20-09-2011",4847742.84
"21-09-2011",3200394.51
"22-09-2011",3084009.25
"23-09-2011",2971954.57
"26-09-2011",2798233.22
"27-09-2011",2249403.59
"28-09-2011",2996982.13
"29-09-2011",2703816.91
"30-09-2011",2807328.72
"03-10-2011",2564322.43
"04-10-2011",2753606.9
"05-10-2011",2422809.6
"06-10-2011",2536120.28
"07-10-2011",2713451.07
"10-10-2011",2151539.84
"11-10-2011",2247199.665
"12-10-2011",2566231.28
"13-10-2011",2582199.84
"14-10-2011",2201921.99
"17-10-2011",2270117.39
"18-10-2011",2320001.34
"19-10-2011",2477535.33
"20-10-2011",2771447.06
"21-10-2011",2460352.87
"24-10-2011",2610554.49
"25-10-2011",2446180.35
"26-10-2011",2354984.66
"27-10-2011",2599591.06
"28-10-2011",1040601.36
"31-10-2011",2247791.73
"01-11-2011",2272215.66
"02-11-2011",2033097.82
"03-11-2011",2468853.45
"04-11-2011",1798958.49
"10-11-2011",2057847.27
"11-11-2011",1736866.42
"14-11-2011",1823143.39
"15-11-2011",1869091.51
"16-11-2011",2134034.46
"17-11-2011",2238385.58
"18-11-2011",1695834.08
"21-11-2011",1746492.91
"22-11-2011",2106877.97
"23-11-2011",2263082.59
"24-11-2011",2094311.34
"25-11-2011",2353399.25
"28-11-2011",1782552.23
"29-11-2011",2005220.49
"30-11-2011",3188825.36
"01-12-2011",2257133.17
"02-12-2011",2366106.44
"05-12-2011",1561449.33
"06-12-2011",1727948.99
"07-12-2011",1861120.41
"08-12-2011",2177215.57
"09-12-2011",1957967.49
"12-12-2011",1753466.04
"13-12-2011",2041278.15
"14-12-2011",1806095.99
"15-12-2011",1989450.65
"16-12-2011",1691567.04
"19-12-2011",1533875.59
"20-12-2011",1797676.92
"21-12-2011",2219188.13
"22-12-2011",1559379.24
"23-12-2011",1237269.16
"26-12-2011",833889.68
"27-12-2011",1057086.62
"28-12-2011",1350160.32
"29-12-2011",1091718.47
"30-12-2011",977207.19
"02-01-2012",1017722.15
"03-01-2012",1734996.38
"04-01-2012",1939846.91
"05-01-2012",1804929.41
"06-01-2012",1988941.99
"09-01-2012",1896748.37
"10-01-2012",1668291.67
"11-01-2012",2105337.21
"12-01-2012",2338553.91
"13-01-2012",1875732.66
"16-01-2012",1804530.31
"17-01-2012",2396853.22
"18-01-2012",2349651.65
"19-01-2012",2730451.09
"20-01-2012",2258460.61
"23-01-2012",2062451.19
"24-01-2012",2134434.53
"25-01-2012",2217908.03
"26-01-2012",3459129.81
"27-01-2012",2520120.49
"30-01-2012",2125458.34
"31-01-2012",2977224.49
"01-02-2012",2803922.02
"02-02-2012",3405776.03
"03-02-2012",2880055.97
"06-02-2012",2262052.21
"07-02-2012",2897362.96
"08-02-2012",2579288.86
"09-02-2012",3447813.79
"10-02-2012",2449704.58
"13-02-2012",2578074.79
"14-02-2012",3148592.22
"15-02-2012",2576260.52
"16-02-2012",2513778.44
"17-02-2012",2614067.58
"20-02-2012",2665459.9
"21-02-2012",2677667.41
"22-02-2012",2971814.28
"23-02-2012",2629099.93
"24-02-2012",2627926.8
"27-02-2012",2345115.17
"28-02-2012",2524570.5
"29-02-2012",2879389.54
"01-03-2012",2593606.36
"02-03-2012",1231641.96
"05-03-2012",2180499.74
"06-03-2012",2144167.03
"07-03-2012",2130180.67
"08-03-2012",2625237.88
"09-03-2012",2095955.76
"12-03-2012",1938109.8
"13-03-2012",2345927.08
"14-03-2012",6228595.8
"15-03-2012",2603077.4
"16-03-2012",3550449.01
"19-03-2012",3170055.78
"20-03-2012",2616617.25
"21-03-2012",2620753.65
"22-03-2012",2974367.14
"23-03-2012",2837620.85
"26-03-2012",2950398.16
"27-03-2012",3012896.28
"28-03-2012",3248217
"29-03-2012",2313287.4
"30-03-2012",2565982.01
"02-04-2012",2460549.63
"03-04-2012",3392311.21
"04-04-2012",2592076.01
"05-04-2012",2962231.67
"06-04-2012",2051049.47
"09-04-2012",1605035.49
"10-04-2012",2906821.3
"11-04-2012",2547110.76
"12-04-2012",2660799.64
"13-04-2012",3022687.77
"16-04-2012",2811292.93
"17-04-2012",2848804.35
"18-04-2012",2975425.8
"19-04-2012",2956893.65
"20-04-2012",2683409.4
"24-04-2012",3397821.78
"25-04-2012",3225513.21
"26-04-2012",3616189.34
"27-04-2012",2990418.65
"30-04-2012",2736070.78
"02-05-2012",2623068.07
"03-05-2012",2286984.49
"04-05-2012",2210701.14
"07-05-2012",2005573.08
"08-05-2012",2494006.19
"09-05-2012",2353333.88
"10-05-2012",2194326.29
"11-05-2012",2344636.25
"14-05-2012",2318478.57
"15-05-2012",2175482.58
"16-05-2012",2553785.01
"17-05-2012",2414562.09
"18-05-2012",2157007.28
"21-05-2012",1701508.73
"22-05-2012",1964349.99
"23-05-2012",2232735.68
"24-05-2012",2322992.44
"25-05-2012",2712745.3
"28-05-2012",1795092.35
"29-05-2012",2259180.61
"30-05-2012",2121782.81
"31-05-2012",3012101.65
"01-06-2012",2427668.66
"04-06-2012",1971891.71
"05-06-2012",1953414.7
"06-06-2012",2181604.7
"07-06-2012",2556292.28
"08-06-2012",2199177.06
"11-06-2012",2583048.43
"12-06-2012",2153996.32
"13-06-2012",2125002.17
"14-06-2012",1914192.66
"15-06-2012",1894468.92
"18-06-2012",1817240.93
"19-06-2012",2160775.28
"20-06-2012",2267155.42
"21-06-2012",2794207.6
"22-06-2012",2567474.78
"25-06-2012",2160859.72
"26-06-2012",1880418.84
"27-06-2012",3057610.82
"28-06-2012",2516136.27
"29-06-2012",2526451.46
"02-07-2012",2159310.68
"03-07-2012",2191437.73
"04-07-2012",2069113.71
"05-07-2012",2233611.59
"06-07-2012",1841406
"09-07-2012",1853847
"10-07-2012",2342287.2
"11-07-2012",2123910.93
"12-07-2012",1838164.59
"13-07-2012",1643872.39
"16-07-2012",1596013.46
"17-07-2012",1686709.35
"18-07-2012",2006200.48
"19-07-2012",1929451.32
"20-07-2012",1825923.6
"23-07-2012",1600737.69
"24-07-2012",1821964.5
"25-07-2012",1976299.76
"26-07-2012",2567722.11
"27-07-2012",2340275.81
"30-07-2012",2166957.85
"31-07-2012",2582465.77
"01-08-2012",1874860.17
"02-08-2012",2766828.77
"03-08-2012",2458428.52
"06-08-2012",2237420.9
"07-08-2012",2189283
"08-08-2012",2221193.45
"09-08-2012",2083570.01
"10-08-2012",1792339.53
"13-08-2012",1700041.57
"14-08-2012",1649253.86
"15-08-2012",1789330.61
"16-08-2012",1613789.89
"17-08-2012",1678147.32
"22-08-2012",1650861.58
"23-08-2012",1865233.05
"24-08-2012",1582742.66
"27-08-2012",1300342.12
"28-08-2012",1866968.57
"29-08-2012",1674063.62
"31-08-2012",2323982.72
"03-09-2012",1662412.82
"04-09-2012",1869638.39
"05-09-2012",2091855.91
"06-09-2012",2261081.04
"07-09-2012",2430277.26
"10-09-2012",1851595.06
"11-09-2012",1769820.25
"12-09-2012",2124343.44
"13-09-2012",2142973.91
"14-09-2012",2573402.88
"17-09-2012",1967148.99
"18-09-2012",2221834.3
"19-09-2012",2486736.93
"20-09-2012",1951450.36
"21-09-2012",2525459.47
"24-09-2012",2096573.46
"25-09-2012",2512059.41
"26-09-2012",2797242.58
"27-09-2012",2041093.36
"28-09-2012",2063396.26
"01-10-2012",1866809.89
"02-10-2012",2250311.21
"03-10-2012",2310111.3
"04-10-2012",2992618.85
"05-10-2012",2744592.55
"08-10-2012",2049614.78
"09-10-2012",2471460.17
"10-10-2012",2659894.33
"11-10-2012",3087048.36
"12-10-2012",2621646.62
"15-10-2012",1916788.06
"16-10-2012",2303847.41
"17-10-2012",2162983.16
"18-10-2012",1936223.43
"19-10-2012",2052132.47
"22-10-2012",1966562.02
"23-10-2012",1751281.81
"24-10-2012",703333.72
"30-10-2012",1819308.12
"31-10-2012",3108872.22
"01-11-2012",3281953.99
"02-11-2012",2823446.87
"05-11-2012",3573421.98
"06-11-2012",3089746.33
"07-11-2012",3051008.4
"08-11-2012",2894170.1
"09-11-2012",3051656.96
"12-11-2012",2010692.95
"13-11-2012",2368702.71
"14-11-2012",2554163.43
"15-11-2012",1894616.52
"16-11-2012",2365020.48
"19-11-2012",3100794.17
"20-11-2012",6894289.75
"21-11-2012",4094280.03
"22-11-2012",3355827.3
"23-11-2012",2446201.97
"26-11-2012",2628124.96
"27-11-2012",3653487.37
"28-11-2012",3229590.96
"29-11-2012",3314839.58
"30-11-2012",3197314.87
"03-12-2012",3395400.03
"04-12-2012",3993644
"05-12-2012",4323156.17
"06-12-2012",3804107.43
"07-12-2012",3608941.79
"10-12-2012",3646727.39
"11-12-2012",4408302.99
"12-12-2012",3249865.47
"13-12-2012",3499021.32
"14-12-2012",2468189.19
"17-12-2012",3012254.64
"18-12-2012",3255333.81
"19-12-2012",3088707.78
"20-12-2012",2739005.25
"21-12-2012",2955792.59
"24-12-2012",2274305.44
"25-12-2012",1817970.67
"26-12-2012",2277993.6
"27-12-2012",2512237.99
"28-12-2012",1957977.33
"31-12-2012",1969196.52
"01-01-2013",3310330.87
"02-01-2013",2916688.54
"03-01-2013",3711668.3
"04-01-2013",3042526.02
"07-01-2013",2683776.89
"08-01-2013",3552862.24
"09-01-2013",3720621.54
"10-01-2013",3731222.99
"11-01-2013",3062795.57
"14-01-2013",3785333.96
"15-01-2013",3393440.44
"16-01-2013",3831385.61
"17-01-2013",4331124.76
"18-01-2013",3874108.35
"21-01-2013",3175869.33
"22-01-2013",4650659.78
"23-01-2013",3872389.48
"24-01-2013",4251078.23
"25-01-2013",4502339.05
"28-01-2013",4739951.85
"29-01-2013",4392300.08
"30-01-2013",4700504.82
"31-01-2013",3967788.91
"01-02-2013",3310330.87
"04-02-2013",3289917.18
"05-02-2013",3037584.94
"06-02-2013",3136207.1
"07-02-2013",3810998.69
"08-02-2013",4001622.62
"11-02-2013",2924387.42
"12-02-2013",3397181.3
"13-02-2013",3371206.24
"14-02-2013",3344155.3
"15-02-2013",3220524.7
