"Tarih","Kur","Alýþ"
2010-05-11,"Dolar",1.5117
2010-05-12,"Dolar",1.5282
2010-05-13,"Dolar",1.5213
2010-05-14,"Dolar",1.5107
2010-05-17,"Dolar",1.5229
2010-05-18,"Dolar",1.537
2010-05-20,"Dolar",1.5291
2010-05-21,"Dolar",1.5727
2010-05-24,"Dolar",1.5756
2010-05-25,"Dolar",1.5647
2010-05-26,"Dolar",1.5871
2010-05-27,"Dolar",1.5728
2010-05-28,"Dolar",1.5607
2010-05-31,"Dolar",1.5514
2010-06-01,"Dolar",1.5665
2010-06-02,"Dolar",1.5799
2010-06-03,"Dolar",1.5732
2010-06-04,"Dolar",1.5659
2010-06-07,"Dolar",1.5772
2010-06-08,"Dolar",1.5936
2010-06-09,"Dolar",1.5978
2010-06-10,"Dolar",1.5928
2010-06-11,"Dolar",1.5889
2010-06-14,"Dolar",1.5727
2010-06-15,"Dolar",1.5611
2010-06-16,"Dolar",1.5697
2010-06-17,"Dolar",1.56
2010-06-18,"Dolar",1.5566
2010-06-21,"Dolar",1.5499
2010-06-22,"Dolar",1.5438
2010-06-23,"Dolar",1.5539
2010-06-24,"Dolar",1.558
2010-06-25,"Dolar",1.5708
2010-06-28,"Dolar",1.575
2010-06-29,"Dolar",1.5643
2010-06-30,"Dolar",1.5747
2010-07-01,"Dolar",1.5737
2010-07-02,"Dolar",1.577
2010-07-05,"Dolar",1.5675
2010-07-06,"Dolar",1.5582
2010-07-07,"Dolar",1.5522
2010-07-08,"Dolar",1.5536
2010-07-09,"Dolar",1.5447
2010-07-12,"Dolar",1.5431
2010-07-13,"Dolar",1.5506
2010-07-14,"Dolar",1.5501
2010-07-15,"Dolar",1.5358
2010-07-16,"Dolar",1.5316
2010-07-19,"Dolar",1.5254
2010-07-20,"Dolar",1.5331
2010-07-21,"Dolar",1.5286
2010-07-22,"Dolar",1.5202
2010-07-23,"Dolar",1.5177
2010-07-26,"Dolar",1.5118
2010-07-27,"Dolar",1.5126
2010-07-28,"Dolar",1.5051
2010-07-29,"Dolar",1.5031
2010-07-30,"Dolar",1.5032
2010-08-02,"Dolar",1.5045
2010-08-03,"Dolar",1.4918
2010-08-04,"Dolar",1.4862
2010-08-05,"Dolar",1.4933
2010-08-06,"Dolar",1.4952
2010-08-09,"Dolar",1.4904
2010-08-10,"Dolar",1.4815
2010-08-11,"Dolar",1.4902
2010-08-12,"Dolar",1.5028
2010-08-13,"Dolar",1.5145
2010-08-16,"Dolar",1.5065
2010-08-17,"Dolar",1.5054
2010-08-18,"Dolar",1.4912
2010-08-19,"Dolar",1.4912
2010-08-20,"Dolar",1.4943
2010-08-23,"Dolar",1.5068
2010-08-24,"Dolar",1.511
2010-08-25,"Dolar",1.5253
2010-08-26,"Dolar",1.52
2010-08-27,"Dolar",1.5168
2010-08-31,"Dolar",1.5153
2010-09-01,"Dolar",1.5209
2010-09-02,"Dolar",1.5155
2010-09-03,"Dolar",1.5054
2010-09-06,"Dolar",1.4994
2010-09-07,"Dolar",1.4936
2010-09-08,"Dolar",1.5033
2010-09-13,"Dolar",1.5033
2010-09-14,"Dolar",1.4884
2010-09-15,"Dolar",1.4922
2010-09-16,"Dolar",1.4861
2010-09-17,"Dolar",1.4847
2010-09-20,"Dolar",1.4887
2010-09-21,"Dolar",1.4888
2010-09-22,"Dolar",1.4845
2010-09-23,"Dolar",1.4773
2010-09-24,"Dolar",1.4809
2010-09-27,"Dolar",1.4786
2010-09-28,"Dolar",1.4686
2010-09-29,"Dolar",1.4669
2010-09-30,"Dolar",1.4512
2010-10-01,"Dolar",1.4434
2010-10-04,"Dolar",1.439
2010-10-05,"Dolar",1.4389
2010-10-06,"Dolar",1.4416
2010-10-07,"Dolar",1.415
2010-10-08,"Dolar",1.4112
2010-10-11,"Dolar",1.4206
2010-10-12,"Dolar",1.4042
2010-10-13,"Dolar",1.4174
2010-10-14,"Dolar",1.4052
2010-10-15,"Dolar",1.3921
2010-10-18,"Dolar",1.3989
2010-10-19,"Dolar",1.4175
2010-10-20,"Dolar",1.4159
2010-10-21,"Dolar",1.4223
2010-10-22,"Dolar",1.413
2010-10-25,"Dolar",1.4216
2010-10-26,"Dolar",1.4079
2010-10-27,"Dolar",1.4134
2010-10-28,"Dolar",1.4301
2010-11-01,"Dolar",1.4301
2010-11-02,"Dolar",1.4196
2010-11-03,"Dolar",1.4101
2010-11-04,"Dolar",1.4019
2010-11-05,"Dolar",1.3884
2010-11-08,"Dolar",1.392
2010-11-09,"Dolar",1.4032
2010-11-10,"Dolar",1.4031
2010-11-11,"Dolar",1.407
2010-11-12,"Dolar",1.4142
2010-11-15,"Dolar",1.428
2010-11-22,"Dolar",1.428
2010-11-23,"Dolar",1.436
2010-11-24,"Dolar",1.456
2010-11-25,"Dolar",1.4763
2010-11-26,"Dolar",1.4693
2010-11-29,"Dolar",1.482
2010-11-30,"Dolar",1.4863
2010-12-01,"Dolar",1.4991
2010-12-02,"Dolar",1.4888
2010-12-03,"Dolar",1.4811
2010-12-06,"Dolar",1.4733
2010-12-07,"Dolar",1.4767
2010-12-08,"Dolar",1.4682
2010-12-09,"Dolar",1.4829
2010-12-10,"Dolar",1.4904
2010-12-13,"Dolar",1.494
2010-12-14,"Dolar",1.4978
2010-12-15,"Dolar",1.4937
2010-12-16,"Dolar",1.5109
2010-12-17,"Dolar",1.5157
2010-12-20,"Dolar",1.52
2010-12-21,"Dolar",1.5461
2010-12-22,"Dolar",1.5497
2010-12-23,"Dolar",1.5456
2010-12-24,"Dolar",1.5446
2010-12-27,"Dolar",1.5392
2010-12-28,"Dolar",1.5403
2010-12-29,"Dolar",1.5416
2010-12-30,"Dolar",1.5567
2010-12-31,"Dolar",1.546
2011-01-03,"Dolar",1.5376
2011-01-04,"Dolar",1.5476
2011-01-05,"Dolar",1.5445
2011-01-06,"Dolar",1.54
2011-01-07,"Dolar",1.5402
2011-01-10,"Dolar",1.5571
2011-01-11,"Dolar",1.5778
2011-01-12,"Dolar",1.5702
2011-01-13,"Dolar",1.5619
2011-01-14,"Dolar",1.5514
2011-01-17,"Dolar",1.5429
2011-01-18,"Dolar",1.5426
2011-01-19,"Dolar",1.5263
2011-01-20,"Dolar",1.532
2011-01-21,"Dolar",1.5533
2011-01-24,"Dolar",1.5693
2011-01-25,"Dolar",1.5636
2011-01-26,"Dolar",1.5552
2011-01-27,"Dolar",1.566
2011-01-28,"Dolar",1.5674
2011-01-31,"Dolar",1.5833
2011-02-01,"Dolar",1.5991
2011-02-02,"Dolar",1.5814
2011-02-03,"Dolar",1.5707
2011-02-04,"Dolar",1.576
2011-02-07,"Dolar",1.5927
2011-02-08,"Dolar",1.5694
2011-02-09,"Dolar",1.567
2011-02-10,"Dolar",1.5797
2011-02-11,"Dolar",1.5912
2011-02-14,"Dolar",1.5886
2011-02-15,"Dolar",1.584
2011-02-16,"Dolar",1.5883
2011-02-17,"Dolar",1.5807
2011-02-18,"Dolar",1.5702
2011-02-21,"Dolar",1.5731
2011-02-22,"Dolar",1.5741
2011-02-23,"Dolar",1.5934
2011-02-24,"Dolar",1.5857
2011-02-25,"Dolar",1.6008
2011-02-28,"Dolar",1.5905
2011-03-01,"Dolar",1.5928
2011-03-02,"Dolar",1.598
2011-03-03,"Dolar",1.6092
2011-03-04,"Dolar",1.6041
2011-03-07,"Dolar",1.5919
2011-03-08,"Dolar",1.5942
2011-03-09,"Dolar",1.5855
2011-03-10,"Dolar",1.58
2011-03-11,"Dolar",1.5759
2011-03-14,"Dolar",1.5786
2011-03-15,"Dolar",1.5729
2011-03-16,"Dolar",1.5754
2011-03-17,"Dolar",1.5762
2011-03-18,"Dolar",1.5788
2011-03-21,"Dolar",1.5757
2011-03-22,"Dolar",1.5693
2011-03-23,"Dolar",1.5626
2011-03-24,"Dolar",1.5543
2011-03-25,"Dolar",1.547
2011-03-28,"Dolar",1.5433
2011-03-29,"Dolar",1.5485
2011-03-30,"Dolar",1.5549
2011-03-31,"Dolar",1.5483
2011-04-01,"Dolar",1.5363
2011-04-04,"Dolar",1.536
2011-04-05,"Dolar",1.5279
2011-04-06,"Dolar",1.5273
2011-04-07,"Dolar",1.5157
2011-04-08,"Dolar",1.5085
2011-04-11,"Dolar",1.4955
2011-04-12,"Dolar",1.5053
2011-04-13,"Dolar",1.5111
2011-04-14,"Dolar",1.5075
2011-04-15,"Dolar",1.5146
2011-04-18,"Dolar",1.5119
2011-04-19,"Dolar",1.5165
2011-04-20,"Dolar",1.5271
2011-04-21,"Dolar",1.5124
2011-04-22,"Dolar",1.508
2011-04-25,"Dolar",1.5097
2011-04-26,"Dolar",1.5123
2011-04-27,"Dolar",1.5206
2011-04-28,"Dolar",1.5146
2011-04-29,"Dolar",1.5092
2011-05-02,"Dolar",1.5141
2011-05-03,"Dolar",1.5127
2011-05-04,"Dolar",1.5227
2011-05-05,"Dolar",1.5306
2011-05-06,"Dolar",1.5367
2011-05-09,"Dolar",1.5361
2011-05-10,"Dolar",1.5338
2011-05-11,"Dolar",1.5494
2011-05-12,"Dolar",1.5667
2011-05-13,"Dolar",1.5802
2011-05-16,"Dolar",1.5748
2011-05-17,"Dolar",1.5869
2011-05-18,"Dolar",1.5782
2011-05-20,"Dolar",1.5743
2011-05-23,"Dolar",1.5736
2011-05-24,"Dolar",1.6001
2011-05-25,"Dolar",1.5934
2011-05-26,"Dolar",1.5972
2011-05-27,"Dolar",1.5916
2011-05-30,"Dolar",1.6003
2011-05-31,"Dolar",1.5939
2011-06-01,"Dolar",1.5859
2011-06-02,"Dolar",1.5826
2011-06-03,"Dolar",1.5841
2011-06-06,"Dolar",1.5773
2011-06-07,"Dolar",1.5718
2011-06-08,"Dolar",1.5735
2011-06-09,"Dolar",1.5791
2011-06-10,"Dolar",1.5728
2011-06-13,"Dolar",1.5697
2011-06-14,"Dolar",1.5653
2011-06-15,"Dolar",1.5695
2011-06-16,"Dolar",1.5879
2011-06-17,"Dolar",1.6075
2011-06-20,"Dolar",1.5967
