"Yýl","Bölge","Tip","Sayý"
2018,"Kuzeydogu Anadolu","Tiyatro",59753
2018,"Ortadogu Anadolu","Tiyatro",250350
2018,"Güneydogu Anadolu","Tiyatro",245045
2018,"Istanbul","Tiyatro",3003641
2018,"Bati Marmara","Tiyatro",176805
2018,"Ege","Tiyatro",842763
2018,"Dogu Marmara","Tiyatro",828997
2018,"Bati Anadolu","Tiyatro",1121486
2018,"Akdeniz","Tiyatro",594566
2018,"Orta Anadolu","Tiyatro",260809
2018,"Bati Karadeniz","Tiyatro",252484
2018,"Dogu Karadeniz","Tiyatro",204654
2018,"Kuzeydogu Anadolu","Sinema",694006
2018,"Ortadogu Anadolu","Sinema",1300611
2018,"Güneydogu Anadolu","Sinema",3061857
2018,"Istanbul","Sinema",20509072
2018,"Bati Marmara","Sinema",2521715
2018,"Ege","Sinema",8751750
2018,"Dogu Marmara","Sinema",7642209
2018,"Bati Anadolu","Sinema",7616146
2018,"Akdeniz","Sinema",6865240
2018,"Orta Anadolu","Sinema",2066186
2018,"Bati Karadeniz","Sinema",2486458
2018,"Dogu Karadeniz","Sinema",1257130
