"Ýl","Araçtipi","Taþýtsayýsý"
"Adana","Otomobil",334313
"Adýyaman","Otomobil",49596
"Afyonkarahisar","Otomobil",87892
"Aðrý","Otomobil",8960
"Amasya","Otomobil",58909
"Ankara","Otomobil",1500415
"Antalya","Otomobil",524391
"Artvin","Otomobil",15935
"Aydýn","Otomobil",183249
"Balýkesir","Otomobil",210420
"Bilecik","Otomobil",33288
"Bingöl","Otomobil",7640
"Bitlis","Otomobil",7704
"Bolu","Otomobil",56009
"Burdur","Otomobil",54176
"Bursa","Otomobil",511687
"Çanakkale","Otomobil",91796
"Çankýrý","Otomobil",21758
"Çorum","Otomobil",80915
"Denizli","Otomobil",198155
"Diyarbakýr","Otomobil",49823
"Edirne","Otomobil",69212
"Elazýð","Otomobil",72385
"Erzincan","Otomobil",28481
"Erzurum","Otomobil",58809
"Eskiþehir","Otomobil",168661
"Gaziantep","Otomobil",233888
"Giresun","Otomobil",42300
"Gümüþhane","Otomobil",10627
"Hakkari","Otomobil",2098
"Hatay","Otomobil",215018
"Isparta","Otomobil",81605
"Mersin","Otomobil",279960
"Ýstanbul","Otomobil",2889968
"Ýzmir","Otomobil",785193
"Kars","Otomobil",11666
"Kastamonu","Otomobil",61319
"Kayseri","Otomobil",237803
"Kýrklareli","Otomobil",60575
"Kýrþehir","Otomobil",38437
"Kocaeli","Otomobil",237716
"Konya","Otomobil",351139
"Kütahya","Otomobil",105425
"Malatya","Otomobil",94642
"Manisa","Otomobil",216021
"Kahramanmaraþ","Otomobil",132796
"Mardin","Otomobil",22611
"Muðla","Otomobil",210750
"Muþ","Otomobil",8715
"Nevþehir","Otomobil",53704
"Niðde","Otomobil",47108
"Ordu","Otomobil",73711
"Rize","Otomobil",34247
"Sakarya","Otomobil",147423
"Samsun","Otomobil",175842
"Siirt","Otomobil",6840
"Sinop","Otomobil",31019
"Sivas","Otomobil",83631
"Tekirdað","Otomobil",143025
"Tokat","Otomobil",81682
"Trabzon","Otomobil",109030
"Tunceli","Otomobil",3569
"Þanlýurfa","Otomobil",91281
"Uþak","Otomobil",66746
"Van","Otomobil",26786
"Yozgat","Otomobil",48310
"Zonguldak","Otomobil",95276
"Aksaray","Otomobil",65500
"Bayburt","Otomobil",6698
"Karaman","Otomobil",36272
"Kýrýkkale","Otomobil",41003
"Batman","Otomobil",14719
"Þýrnak","Otomobil",4366
"Bartýn","Otomobil",29320
"Ardahan","Otomobil",3759
"Iðdýr","Otomobil",6254
"Yalova","Otomobil",36009
"Karabük","Otomobil",40485
"Kilis","Otomobil",11145
"Osmaniye","Otomobil",81333
"Düzce","Otomobil",56599
"Adana","Minibüs",11263
"Adýyaman","Minibüs",4636
"Afyonkarahisar","Minibüs",4895
"Aðrý","Minibüs",2462
"Amasya","Minibüs",3031
"Ankara","Minibüs",25572
"Antalya","Minibüs",15936
"Artvin","Minibüs",2230
"Aydýn","Minibüs",10590
"Balýkesir","Minibüs",6435
"Bilecik","Minibüs",1097
"Bingöl","Minibüs",1280
"Bitlis","Minibüs",1567
"Bolu","Minibüs",1562
"Burdur","Minibüs",1391
"Bursa","Minibüs",15090
"Çanakkale","Minibüs",2659
"Çankýrý","Minibüs",742
"Çorum","Minibüs",2751
"Denizli","Minibüs",7133
"Diyarbakýr","Minibüs",6153
"Edirne","Minibüs",1968
"Elazýð","Minibüs",3904
"Erzincan","Minibüs",1632
"Erzurum","Minibüs",2755
"Eskiþehir","Minibüs",3818
"Gaziantep","Minibüs",13380
"Giresun","Minibüs",7707
"Gümüþhane","Minibüs",1064
"Hakkari","Minibüs",1340
"Hatay","Minibüs",11578
"Isparta","Minibüs",2495
"Mersin","Minibüs",9134
"Ýstanbul","Minibüs",97808
"Ýzmir","Minibüs",16355
"Kars","Minibüs",1707
"Kastamonu","Minibüs",2802
"Kayseri","Minibüs",6430
"Kýrklareli","Minibüs",2063
"Kýrþehir","Minibüs",1128
"Kocaeli","Minibüs",8754
"Konya","Minibüs",11271
"Kütahya","Minibüs",3919
"Malatya","Minibüs",4622
"Manisa","Minibüs",7269
"Kahramanmaraþ","Minibüs",7163
"Mardin","Minibüs",4381
"Muðla","Minibüs",9819
"Muþ","Minibüs",1489
"Nevþehir","Minibüs",3618
"Niðde","Minibüs",2024
"Ordu","Minibüs",10870
"Rize","Minibüs",3470
"Sakarya","Minibüs",5843
"Samsun","Minibüs",13569
"Siirt","Minibüs",1632
"Sinop","Minibüs",1985
"Sivas","Minibüs",3263
"Tekirdað","Minibüs",5229
"Tokat","Minibüs",4276
"Trabzon","Minibüs",10227
"Tunceli","Minibüs",604
"Þanlýurfa","Minibüs",9472
"Uþak","Minibüs",2323
"Van","Minibüs",7550
"Yozgat","Minibüs",2512
"Zonguldak","Minibüs",4487
"Aksaray","Minibüs",1426
"Bayburt","Minibüs",585
"Karaman","Minibüs",1852
"Kýrýkkale","Minibüs",1715
"Batman","Minibüs",2719
"Þýrnak","Minibüs",1563
"Bartýn","Minibüs",1542
"Ardahan","Minibüs",748
"Iðdýr","Minibüs",1410
"Yalova","Minibüs",2186
"Karabük","Minibüs",1709
"Kilis","Minibüs",1022
"Osmaniye","Minibüs",3997
"Düzce","Minibüs",2719
"Adana","Otobüs",4661
"Adýyaman","Otobüs",385
"Afyonkarahisar","Otobüs",1604
"Aðrý","Otobüs",334
"Amasya","Otobüs",680
"Ankara","Otobüs",18061
"Antalya","Otobüs",11199
"Artvin","Otobüs",331
"Aydýn","Otobüs",2922
"Balýkesir","Otobüs",3324
"Bilecik","Otobüs",855
"Bingöl","Otobüs",245
"Bitlis","Otobüs",159
"Bolu","Otobüs",945
"Burdur","Otobüs",867
"Bursa","Otobüs",8146
"Çanakkale","Otobüs",1823
"Çankýrý","Otobüs",521
"Çorum","Otobüs",1072
"Denizli","Otobüs",3948
"Diyarbakýr","Otobüs",1396
"Edirne","Otobüs",1840
"Elazýð","Otobüs",772
"Erzincan","Otobüs",477
"Erzurum","Otobüs",1188
"Eskiþehir","Otobüs",2574
"Gaziantep","Otobüs",4260
"Giresun","Otobüs",393
"Gümüþhane","Otobüs",204
"Hakkari","Otobüs",71
"Hatay","Otobüs",3826
"Isparta","Otobüs",1445
"Mersin","Otobüs",5364
"Ýstanbul","Otobüs",40784
"Ýzmir","Otobüs",15222
"Kars","Otobüs",378
"Kastamonu","Otobüs",1050
"Kayseri","Otobüs",5037
"Kýrklareli","Otobüs",1535
"Kýrþehir","Otobüs",530
"Kocaeli","Otobüs",6970
"Konya","Otobüs",5688
"Kütahya","Otobüs",1843
"Malatya","Otobüs",1710
"Manisa","Otobüs",7021
"Kahramanmaraþ","Otobüs",2039
"Mardin","Otobüs",690
"Muðla","Otobüs",4461
"Muþ","Otobüs",195
"Nevþehir","Otobüs",792
"Niðde","Otobüs",930
"Ordu","Otobüs",1080
"Rize","Otobüs",615
"Sakarya","Otobüs",3320
"Samsun","Otobüs",1516
"Siirt","Otobüs",126
"Sinop","Otobüs",314
"Sivas","Otobüs",1300
"Tekirdað","Otobüs",5250
"Tokat","Otobüs",1214
"Trabzon","Otobüs",1540
"Tunceli","Otobüs",96
"Þanlýurfa","Otobüs",1470
"Uþak","Otobüs",1410
"Van","Otobüs",641
"Yozgat","Otobüs",577
"Zonguldak","Otobüs",1813
"Aksaray","Otobüs",1371
"Bayburt","Otobüs",113
"Karaman","Otobüs",599
"Kýrýkkale","Otobüs",605
"Batman","Otobüs",289
"Þýrnak","Otobüs",188
"Bartýn","Otobüs",539
"Ardahan","Otobüs",51
"Iðdýr","Otobüs",285
"Yalova","Otobüs",1011
"Karabük","Otobüs",591
"Kilis","Otobüs",162
"Osmaniye","Otobüs",1026
"Düzce","Otobüs",1514
"Adana","Kamyonet",101674
"Adýyaman","Kamyonet",15375
"Afyonkarahisar","Kamyonet",35260
"Aðrý","Kamyonet",7145
"Amasya","Kamyonet",17343
"Ankara","Kamyonet",304532
"Antalya","Kamyonet",189395
"Artvin","Kamyonet",13668
"Aydýn","Kamyonet",69984
"Balýkesir","Kamyonet",68759
"Bilecik","Kamyonet",11784
"Bingöl","Kamyonet",4641
"Bitlis","Kamyonet",6027
"Bolu","Kamyonet",16675
"Burdur","Kamyonet",15857
"Bursa","Kamyonet",171368
"Çanakkale","Kamyonet",33620
"Çankýrý","Kamyonet",8334
"Çorum","Kamyonet",22213
"Denizli","Kamyonet",65082
"Diyarbakýr","Kamyonet",22189
"Edirne","Kamyonet",21832
"Elazýð","Kamyonet",25346
"Erzincan","Kamyonet",11442
"Erzurum","Kamyonet",26814
"Eskiþehir","Kamyonet",45988
"Gaziantep","Kamyonet",92131
"Giresun","Kamyonet",29254
"Gümüþhane","Kamyonet",5997
"Hakkari","Kamyonet",2286
"Hatay","Kamyonet",64006
"Isparta","Kamyonet",25385
"Mersin","Kamyonet",107453
"Ýstanbul","Kamyonet",676470
"Ýzmir","Kamyonet",235626
"Kars","Kamyonet",7818
"Kastamonu","Kamyonet",18032
"Kayseri","Kamyonet",64994
"Kýrklareli","Kamyonet",16678
"Kýrþehir","Kamyonet",8763
"Kocaeli","Kamyonet",75028
"Konya","Kamyonet",123810
"Kütahya","Kamyonet",27109
"Malatya","Kamyonet",34968
"Manisa","Kamyonet",72076
"Kahramanmaraþ","Kamyonet",43172
"Mardin","Kamyonet",18459
"Muðla","Kamyonet",74360
"Muþ","Kamyonet",7529
"Nevþehir","Kamyonet",19705
