"kelime","n"
"korona",1404
"corona",1163
"mi",1027
"bi",887
"gün",764
"drfahrettinkoca",668
"ertelekibayramolsun",642
"rterdogan",501
"maske",495
"yeni",480
"allah",463
"sokaða",463
"zaman",455
"devam",446
"saðlýk",435
"insan",433
"vaka",421
"son",417
"olacak",409
"sayýsý",408
"sýnav",398
"evde",391
"sayýn",391
"falan",388
"büyük",382
"sosyal",374
"çýktý",358
"çýkma",348
"insanlar",339
"kiþi",339
"eðitim",329
"bitsin",328
"bayram",327
"test",326
"bitti",324
"güzel",321
"hala",312
"ayný",310
"dünya",304
"bulaþmýyor",299
"bulaþýyor",298
"sýnava",292
"ay",289
"yks",285
"virüsü",273
"bence",270
"fazla",267
"bulaþan",266
"geldi",266
"an",264
"mayýs",260
"þekilde",260
"uzaktan",260
"yasaðý",260
"yasak",260
"bugün",259
"mübarek",259
"inþallah",258
"dýþarý",256
"zor",255
"hocam",250
"covid",247
"kadir",244
"bayramda",227
"önemli",227
"salgýný",223
"türkiye",219
"mesafe",218
"bulaþmayan",217
"bitmiþ",214
"yýl",212
"e",210
"karantina",208
"bitince",206
"olabilir",206
"bilim",205
"aþý",201
"hafta",201
"ziyaselcuk",200
"hasta",198
"para",194
"size",194
"sene",193
"virüszamanýbedelliuzaktan",193
"lazým",192
"sebebiyle",192
"abi",190
"diyor",190
"virüsün",190
"çin",189
"millet",188
"koronavirüs",187
"ramazan",183
"ülke",182
"içinde",181
"tespit",181
"pozitif",180
"karþý",179
"biter",177
"karar",177
"aq",176
"bakaným",176
"demek",176
"gördük",176
"amk",173
"baþladý",173
"sonrasý",171
"istemiyoruz",170
"varken",169
"adam",168
"kapsamýnda",168
"haber",167
"ortaya",164
"testi",164
"avm",162
"geliyor",162
"okullar",162
"arkadaþlar",161
"eve",161
"yerde",161
"bizde",159
"bak",157
"kaç",157
"normal",157
"ye",157
"döneminde",156
"gerçekten",156
"tekrar",156
"evet",155
"gece",155
"hakký",154
"aymbaskanligi",153
"ediyorum",150
"kiþiye",149
"kötü",149
"rabbim",149
"sanýrým",149
"abd",148
"pandemi",148
"hayýrlý",146
"saat",146
"ölüm",145
"varsa",145
"be",144
"kapalý",144
"kiþinin",144
"darbe",142
"dalga",141
"belli",140
"yaz",140
"aydýr",139
"kardeþim",138
"þuan",138
"açýk",137
"covid19",137
"devlet",137
"2020",136
"acil",136
"günde",136
"kabul",136
"yer",136
"yüksek",136
"anda",134
"dedi",134
"hava",134
"kaldý",134
"salgýn",134
"tedbirleri",134
"tehlikeli",134
"yaþ",134
"riski",133
"yere",133
"dünyada",132
"insanlarý",131
"sokakta",131
"ülkede",131
"altýna",130
"boþ",130
"geri",130
"evden",129
"kadirgecesi",129
"umarým",129
"edildi",128
"altýnda",127
"günlük",127
"den",126
"dünyayý",126
"lan",126
"bedelli",125
"zamanda",125
"açýkladý",124
"açýklama",124
"durum",123
"sebebi",123
"sýnavda",123
"galiba",122
"günü",122
"bitecek",121
"dikkat",121
"geçen",121
"istiyoruz",121
"çýkan",120
"etsin",120
"kurulu",120
"a",119
"ceza",118
"tabi",118
"yardým",118
"olmuþ",117
"olun",117
"tatil",117
"yaþam",117
"yüzden",117
"bulaþýr",116
