"Tarih","Endeks","Kapanýþ"
"2019-05-07","Hizmet",66992.88
"2019-05-08","Hizmet",66524.43
"2019-05-09","Hizmet",65714.58
"2019-05-10","Hizmet",65688.66
"2019-05-13","Hizmet",63905.14
"2019-05-14","Hizmet",64479.48
"2019-05-15","Hizmet",63740.52
"2019-05-16","Hizmet",63449.5
"2019-05-17","Hizmet",62665.98
"2019-05-20","Hizmet",63035.48
"2019-05-21","Hizmet",62443.89
"2019-05-22","Hizmet",61832.66
"2019-05-23","Hizmet",63105.14
"2019-05-24","Hizmet",63094.81
"2019-05-27","Hizmet",62967.91
"2019-05-28","Hizmet",64161.11
"2019-05-29","Hizmet",64979.72
"2019-05-30","Hizmet",66799.8
"2019-05-31","Hizmet",66938.05
"2019-06-03","Hizmet",67578.44
"2019-06-07","Hizmet",70053.24
"2019-06-10","Hizmet",69715.77
"2019-06-11","Hizmet",68324.88
"2019-06-12","Hizmet",68443.44
"2019-06-13","Hizmet",67116.82
"2019-06-14","Hizmet",67982.78
"2019-06-17","Hizmet",68719.98
"2019-06-18","Hizmet",69967.73
"2019-06-19","Hizmet",69392.79
"2019-06-20","Hizmet",69054.06
"2019-06-21","Hizmet",68696.07
"2019-06-24","Hizmet",69184.09
"2019-06-25","Hizmet",68960.27
"2019-06-26","Hizmet",68528.9
"2019-06-27","Hizmet",69323.88
"2019-06-28","Hizmet",70575.5
"2019-07-01","Hizmet",72928.21
"2019-07-02","Hizmet",73752.04
"2019-07-03","Hizmet",73446.38
"2019-07-04","Hizmet",73900.65
"2019-07-05","Hizmet",73238.89
"2019-07-08","Hizmet",72097.65
"2019-07-09","Hizmet",72101.4
"2019-07-10","Hizmet",73265.32
"2019-07-11","Hizmet",74366.85
"2019-07-12","Hizmet",72638.61
"2019-07-16","Hizmet",73531.12
"2019-07-17","Hizmet",74158.37
"2019-07-18","Hizmet",75056.46
"2019-07-19","Hizmet",75183.35
"2019-07-22","Hizmet",74985.49
"2019-07-23","Hizmet",75817.52
"2019-07-24","Hizmet",76410.2
"2019-07-25","Hizmet",75104.13
"2019-07-26","Hizmet",75736.52
"2019-07-29","Hizmet",75971.46
"2019-07-30","Hizmet",76302.92
"2019-07-31","Hizmet",75315.88
"2019-08-01","Hizmet",75054.59
"2019-08-02","Hizmet",73792.86
"2019-08-05","Hizmet",73166.12
"2019-08-06","Hizmet",73721.31
"2019-08-07","Hizmet",73116.51
"2019-08-08","Hizmet",74557.48
"2019-08-09","Hizmet",74954.12
"2019-08-15","Hizmet",74583.59
"2019-08-16","Hizmet",75218.16
"2019-08-19","Hizmet",75236.12
"2019-08-20","Hizmet",74739.46
"2019-08-21","Hizmet",73880.68
"2019-08-22","Hizmet",74706.68
"2019-08-23","Hizmet",75603.23
"2019-08-26","Hizmet",75309.05
"2019-08-27","Hizmet",74168.86
"2019-08-28","Hizmet",74502.75
"2019-08-29","Hizmet",75452.31
"2019-09-02","Hizmet",75771.41
"2019-09-03","Hizmet",75313.43
"2019-09-04","Hizmet",76725.3
"2019-09-05","Hizmet",77313.13
"2019-09-06","Hizmet",76804.34
"2019-09-09","Hizmet",77437.47
"2019-09-10","Hizmet",77687.11
"2019-09-11","Hizmet",78115.31
"2019-09-12","Hizmet",77644.03
"2019-09-13","Hizmet",78480.22
"2019-09-16","Hizmet",77999.71
"2019-09-17","Hizmet",77125.78
"2019-09-18","Hizmet",77232.8
"2019-09-19","Hizmet",76870.36
"2019-09-20","Hizmet",77057.56
"2019-09-23","Hizmet",77318.66
"2019-09-24","Hizmet",77865.04
"2019-09-25","Hizmet",78609.35
"2019-09-26","Hizmet",77458.49
"2019-09-27","Hizmet",78683.98
"2019-09-30","Hizmet",78962.83
"2019-10-01","Hizmet",78197.03
"2019-10-02","Hizmet",78571.41
"2019-10-03","Hizmet",78025.8
"2019-10-04","Hizmet",78375.8
"2019-10-07","Hizmet",78014.07
"2019-10-08","Hizmet",77663.31
"2019-10-09","Hizmet",76866.53
"2019-10-10","Hizmet",75926.87
"2019-10-11","Hizmet",76322.47
"2019-10-14","Hizmet",73510.28
"2019-10-15","Hizmet",74013.62
"2019-10-16","Hizmet",72608.47
"2019-10-17","Hizmet",73337.09
"2019-10-18","Hizmet",75658.19
"2019-10-21","Hizmet",75553.99
"2019-10-22","Hizmet",75661.46
"2019-10-23","Hizmet",77048.16
"2019-10-24","Hizmet",77629.95
"2019-10-28","Hizmet",77397.77
"2019-10-30","Hizmet",76840.93
"2019-10-31","Hizmet",76762.83
"2019-11-01","Hizmet",76470.96
"2019-11-04","Hizmet",77117.69
"2019-11-05","Hizmet",77780.31
"2019-11-06","Hizmet",78207.86
"2019-11-07","Hizmet",80069.95
"2019-11-08","Hizmet",79648.87
"2019-11-11","Hizmet",79348.81
"2019-11-12","Hizmet",80008.49
"2019-11-13","Hizmet",80630.31
"2019-11-14","Hizmet",80021.42
"2019-11-15","Hizmet",81075.04
"2019-11-18","Hizmet",82135.19
"2019-11-19","Hizmet",82231.9
"2019-11-20","Hizmet",81724.08
"2019-11-21","Hizmet",81319.94
"2019-11-22","Hizmet",80963.83
"2019-11-25","Hizmet",80485.49
"2019-11-26","Hizmet",80953.06
"2019-11-27","Hizmet",81214.97
"2019-11-28","Hizmet",82684.63
"2019-11-29","Hizmet",82129.14
"2019-12-02","Hizmet",82830.02
"2019-12-03","Hizmet",82024.5
"2019-12-04","Hizmet",82583.32
"2019-12-05","Hizmet",83333.89
"2019-12-06","Hizmet",83667.75
"2019-12-09","Hizmet",83353.27
"2019-12-10","Hizmet",82822.27
"2019-12-11","Hizmet",82979.34
"2019-12-12","Hizmet",84365.1
"2019-12-13","Hizmet",84122.14
"2019-12-16","Hizmet",84811.17
"2019-12-17","Hizmet",84882.73
"2019-12-18","Hizmet",84871.52
"2019-12-19","Hizmet",85316.8
"2019-12-20","Hizmet",85068.76
"2019-12-23","Hizmet",85650.72
"2019-12-24","Hizmet",86540.31
"2019-12-25","Hizmet",86579.2
"2019-12-26","Hizmet",86989.38
"2019-12-27","Hizmet",86904.95
"2019-12-30","Hizmet",87330
"2019-12-31","Hizmet",87309.07
"2020-01-02","Hizmet",88294.3
"2020-01-03","Hizmet",86861.76
"2020-01-06","Hizmet",84948.08
"2020-01-07","Hizmet",86062.54
"2020-01-08","Hizmet",85707.57
"2020-01-09","Hizmet",89169.12
"2020-01-10","Hizmet",89343.13
"2020-01-13","Hizmet",90469.54
"2020-01-14","Hizmet",91723.72
"2020-01-15","Hizmet",91464.61
"2020-01-16","Hizmet",91235.78
"2020-01-17","Hizmet",91352.23
"2020-01-20","Hizmet",91902.1
"2020-01-21","Hizmet",92976.21
"2020-01-22","Hizmet",92645.73
"2020-01-23","Hizmet",93148.28
"2020-01-24","Hizmet",92962.03
"2020-01-27","Hizmet",91350.91
"2020-01-28","Hizmet",91016.75
"2020-01-29","Hizmet",91322.47
"2020-01-30","Hizmet",90422.28
