Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,8.220000,8.230000,8.080000,8.150000,8.150000,78278742
2020-05-05,8.240000,8.280000,8.130000,8.150000,8.150000,92141039
2020-05-06,8.140000,8.160000,8.050000,8.090000,8.090000,81630302
2020-05-07,8.060000,8.170000,7.960000,8.030000,8.030000,141185727
2020-05-08,8.080000,8.130000,7.860000,7.880000,7.880000,111602500
2020-05-11,7.890000,7.950000,7.730000,7.760000,7.760000,95087338
2020-05-12,7.760000,7.960000,7.720000,7.910000,7.910000,120610289
2020-05-13,7.900000,8.020000,7.880000,7.890000,7.890000,80024531
2020-05-14,7.810000,7.850000,7.670000,7.680000,7.680000,105103921
2020-05-15,7.800000,7.810000,7.680000,7.700000,7.700000,61334550
2020-05-18,7.770000,7.850000,7.740000,7.760000,7.760000,102470850
2020-05-20,7.780000,7.800000,7.680000,7.720000,7.720000,86368909
